SrNo,Name,Role,Country,Base Price (Cr),Status,Sold Price,Sold To,Image,Is Overseas
1,"MS Dhoni",Wicket Keeper,India,0.2,SOLD,0.2,MI,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png,No
2,"Sanju Samson",Wicket Keeper,India,0.2,UNSOLD,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
3,"Ruturaj Gaikwad",Batsman,India,0.2,SOLD,0.2,MI,https://documents.iplt20.com/ipl/IPLHeadshot2025/102.png,No
4,"Dewald Brevis",Batsman,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/797.png,Yes
5,"Ayush Mhatre",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3497.png,No
6,"Kartik Sharma",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
7,"Sarfaraz Khan",Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
8,"Urvil Patel",Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1486.png,No
9,"Anshul Kamboj",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3106.png,No
10,"Jamie Overton",All-Rounder,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1216.png,Yes
11,"Ramakrishna Ghosh",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3559.png,No
12,"Prashant Veer",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
13,"Matthew William Short",All-Rounder,Overseas,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
14,"Aman Khan",All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
15,"Zak Foulkes",All-Rounder,New Zealand,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
16,"Shivam Dube",All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/211.png,No
17,"Khaleel Ahmed",Bowler,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/8.png,No
18,"Noor Ahmad",Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png,Yes
19,"Mukesh Choudhary",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/970.png,No
20,"Nathan Ellis",Bowler,Overseas,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/633.png,Yes
21,"Shreyas Gopal",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/192.png,No
22,"Gurjapneet Singh",Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2256.png,No
23,"Akeal Hosein",Bowler,West Indies,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
24,"Matt Henry",Bowler,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes
25,"Rahul Chahar",Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No
26,"KL Rahul",Wicket Keeper,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png,No
27,"Karun Nair",Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/131.png,No
