SrNo,Name,Country,Role,BasePrice,IsOverseas,Status,SoldPrice,SoldToTeam,BattingPositionGroup,Set,Position
1,MS Dhoni,India,Wicket Keeper,2,No,AVAILABLE,,,,0,5
2,Sanju Samson,India,Wicket Keeper,2,No,AVAILABLE,,,,4,1
3,Ruturaj Gaikwad,India,Batsman,1,No,AVAILABLE,,,,1,3
4,Dewald Brevis,Overseas,Batsman,0.75,Yes,AVAILABLE,,,,1,4
5,Ayush Mhatre,India,Batsman,0.3,No,AVAILABLE,,,,1,1
6,Kartik Sharma,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9,6
7,Sarfaraz Khan,India,Batsman,0.75,No,AVAILABLE,,,,1,3
8,Urvil Patel,India,Wicket Keeper,0.3,No,AVAILABLE,,,,9,4
9,Anshul Kamboj,India,Bowler,0.3,No,AVAILABLE,,,,7,8
10,Jamie Overton,Overseas,All-Rounder,1,Yes,AVAILABLE,,,,4,7
11,Ramakrishna Ghosh,India,All-Rounder,0.3,No,AVAILABLE,,,,10,8
12,Prashant Veer,India,All-Rounder,0.3,No,AVAILABLE,,,,10,7
13,Matthew William Short,Overseas,All-Rounder,0.3,Yes,AVAILABLE,,,,5,6
14,Aman Khan,India,All-Rounder,0.3,No,AVAILABLE,,,,10,7
15,Zak Foulkes,New Zealand,All-Rounder,0.3,Yes,AVAILABLE,,,,5,8
16,Shivam Dube,India,All-Rounder,2,No,AVAILABLE,,,,5,5
17,Khaleel Ahmed,India,Bowler,1,No,AVAILABLE,,,,2,9
18,Noor Ahmad,Overseas,Bowler,2,Yes,AVAILABLE,,,,3,10
19,Mukesh Choudhary,India,Bowler,0.3,No,AVAILABLE,,,,7,11
20,Nathan Ellis,Overseas,Bowler,1.25,Yes,AVAILABLE,,,,2,9
21,Shreyas Gopal,India,Bowler,0.3,No,AVAILABLE,,,,3,8
22,Gurjapneet Singh,India,Bowler,0.3,No,AVAILABLE,,,,7,11
23,Akeal Hosein,West Indies,Bowler,2,Yes,AVAILABLE,,,,3,8
24,Matt Henry,New Zealand,Bowler,2,Yes,AVAILABLE,,,,2,10
25,Rahul Chahar,India,Bowler,1,No,AVAILABLE,,,,3,10
26,KL Rahul,India,Wicket Keeper,2,No,AVAILABLE,,,,4,1
27,Karun Nair,India,Batsman,0.75,No,AVAILABLE,,,,1,3
28,David Miller,South Africa,Batsman,2,Yes,AVAILABLE,,,,1,5
29,Ben Duckett,England,Wicket Keeper,2,Yes,AVAILABLE,,,,4,2
30,Pathum Nissanka,Sri Lanka,Batsman,0.75,Yes,AVAILABLE,,,,1,2
31,Sahil Parakh,India,Batsman,0.3,No,AVAILABLE,,,,6,4
32,Prithvi Shaw,India,Batsman,0.75,No,AVAILABLE,,,,1,2
33,Abishek Porel,India,Wicket Keeper,0.75,No,AVAILABLE,,,,9,4
34,Tristan Stubbs,Overseas,Wicket Keeper,1.5,Yes,AVAILABLE,,,,4,4
35,Axar Patel,India,All-Rounder,2,No,AVAILABLE,,,,5,5
36,Sameer Rizvi,India,All-Rounder,0.75,No,AVAILABLE,,,,10,5
37,Ashutosh Sharma,India,All-Rounder,1,No,AVAILABLE,,,,10,6
38,Vipraj Nigam,India,All-Rounder,0.75,No,AVAILABLE,,,,10,7
39,Ajay Mandal,India,All-Rounder,0.3,No,AVAILABLE,,,,10,8
40,Tripurana Vijay,India,All-Rounder,0.3,No,AVAILABLE,,,,10,7
41,Madhav Tiwari,India,All-Rounder,0.3,No,AVAILABLE,,,,10,7
42,Auqib Dar,India,All-Rounder,0.3,No,AVAILABLE,,,,10,9
43,Nitish Rana,India,All-Rounder,1.5,No,AVAILABLE,,,,5,3
44,Mitchell Starc,Overseas,Bowler,2,Yes,AVAILABLE,,,,0,8
45,T. Natarajan,India,Bowler,1,No,AVAILABLE,,,,2,10
46,Mukesh Kumar,India,Bowler,1,No,AVAILABLE,,,,2,11
